08 июн. 2026 16:03:13,987 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,995 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,003 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,004 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,012 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,014 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,022 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,024 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,025 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,026 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,028 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,029 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,030 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,032 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,067 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,077 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,079 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,080 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,092 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,095 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,096 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,098 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,109 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,113 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:14,113 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 10976, Time : 804, Current connections count : 5
08 июн. 2026 16:03:14,114 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 5
08 июн. 2026 16:03:14,116 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 5
08 июн. 2026 16:03:14,122 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,128 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,129 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 5
08 июн. 2026 16:03:14,138 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,149 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,153 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,163 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,166 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,169 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,175 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10976, Current connections count : 5
08 июн. 2026 16:03:14,176 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10976, Current connections count : 5
